form,group,category,flags,page_ref,notes
iFOSFamide,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
INDEral,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
isopto CARpine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
isopto HOMATROpine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
iSOtretinoin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
januMET,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
januVIA,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ketALAR,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
ketOROLAC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
laMICTAl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
laMISil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lamiVUDine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lamOTRIGine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lanTUs,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lanVis,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
laRGACTil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
LEUKeran,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
linCOMYCIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
linEZOLID,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lipAZil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
lipiDil,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
LORazepam,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
loSEC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
loVAN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
mercaptAMine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
mercaptOPURine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
methADONe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
methYLPHENIDATe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
moBILis,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
morphine,,,comparator,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF; LASA comparator only (no TML form in AU source - verify against 2024 PDF and remove or assign correct TML form)
moVALis,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
MOXifloxacin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
MS,,,comparator,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF; LASA comparator only (no TML form in AU source - verify against 2024 PDF and remove or assign correct TML form)
MYLeran,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
NEOral,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
nexAVAR,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
nexiUM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
niFEDIPine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
niMODIPine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
niZATIDine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
NORfloxacin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
norMISON,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
norVASC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
novoMIX,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
novoRAPID,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
OXazepam,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
OXCARBazepine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
oxyCONTIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
oxyNORM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
PACLitaxel,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
paRIET,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
PARoxetine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
paXTINE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
pEXSIG,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
primaCIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
primaCOR,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
primaXIN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
pRISTIQ,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
proCHLORPERazine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
proGRAF,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
proMETHazine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
propOFol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
propRANOLol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
proZAC,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
QUETIAPine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
RABEprazole,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
rifaMPICin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
rifaXIMin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
riSPERIDONe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
rOPINIROLe,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
sAXagliptin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
SERTRALine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
Sirolimus,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
